ID,人物,传统,现标v1,语句
00995,奥古斯丁,西方,B,自然之法是写在人心中的，纵在不信者也能略知一二。——《论自由意志·2·?》〔译〕
00996,尼采,西方,B,无历史的与超历史的，是治历史病的两剂药。——《不合时宜的沉思》〔意译〕
00997,孟子,中国,B,以力服人者，非心服也；以德服人者，中心悦而诚服也。——《孟子·公孙丑上》
00998,鲁米,伊斯兰波斯,B,让所爱之美成为我们所行之事。——《玛斯纳维·卷二》〔译〕
00999,胡塞尔,西方,B,主体间性构成了一个共同的、主体间的世界。——《笛卡尔式的沉思》第五沉思〔译〕
01000,王充,中国,A,得官不欣，失位不恨。——《论衡·自纪》
01001,周敦颐,中国,B,阳变阴合，而生水火木金土。五气顺布，四时行焉。——《太极图说》
01002,克尔凯郭尔,西方,B,理性可以解释世界，却安慰不了一个绝望者。——《致死的疾病》（Anti-Climacus）〔译〕
01003,庄子,中国,B,以道观之，物无贵贱；以物观之，自贵而相贱。——《庄子·秋水》
01004,公孙龙,中国,B,二无一。——《公孙龙子·通变论》
01005,洛克,西方,B,统治者的权力来自被统治者的同意。——《政府论两篇·下篇》章八·节95〔意译〕
01006,张载,中国,A,富贵福泽，将厚吾之生也；贫贱忧戚，庸玉汝于成也。——《西铭》
01007,陆九渊,中国,B,千虚不博一实，吾平生学问无他，只是一实。——《语录》（卷三十五）
01008,老子,中国,A,为学日益，为道日损。损之又损，以至于无为。——《道德经·第四十八章》
01009,黄宗羲,中国,B,人各得自私，人各得自利，固人之情也。——《明夷待访录·原君》 〔意译〕
01010,荀子,中国,A,青，取之于蓝，而青于蓝。——《荀子·劝学》
01011,墨子,中国,B,民有三患：饥者不得食，寒者不得衣，劳者不得息。——《墨子·非乐上》
01012,惠施,中国,B,至大无外，谓之大一；至小无内，谓之小一。——《庄子·天下》（历物十事之一）
01013,亚里士多德,西方,A,最好的生活，是合于那最优德性（沉思）的生活。——〔译〕《尼各马可伦理学》1176a—b
01014,程颐,中国,A,邪僻之虑，无自而入。——《遗书》卷十五
01015,程颢,中国,A,观天理，亦须放开意思，开阔得心胸，便可见。——《遗书》卷二上
01016,莱布尼茨,西方,B,上帝以最少的理由产生最多的效果（充足理由的节约）。——《单子论》第58节〔意译〕
01017,李贽,中国,B,天下之法，未有不弊者也。——《焚书·论政》
01018,商羯罗,印度,A,离欲、离慢、离分别，乃能证悟不二之我。——《梵经注·卷三》〔译〕
01019,陆九渊,中国,A,凡事只看其理如何，不要看其人是谁。——《语录》（卷三十五）
01020,黑格尔,西方,B,市民社会中，每个人都以自己为目的。——《法哲学原理·§182》〔译〕
01021,商羯罗,印度,A,知阿特曼者超出生死；不知者轮回不息。——《梵经注·卷二》〔译〕
01022,嵇康,中国,B,宅无吉凶，随所遭而安。——《难宅无吉凶摄生论》
01023,德谟克利特,西方,B,万物皆依必然与原子之撞击而成，并非出于偶然。——〔译〕《残篇》DK B256（据载，与留基伯同说；第欧根尼·拉尔修 IX 转引）
01024,阿伦特,西方,A,一个人的尊严，在于他能说「这是我自己的判断」。——《责任与判断》〔意译〕
01025,柏拉图,西方,A,灵魂如御者驾驭双马：一匹驯良，一匹顽劣。——〔译〕《斐德罗》246a—b
01026,程颐,中国,A,君子之学，在于正其心，养其性。——《遗书》卷十五
01027,加缪,西方,A,人不该自杀，因为荒诞正要求人活下去。——《西西弗神话》〔译〕
01028,爱比克泰德,西方,A,当你认定某物属于你时，先提醒自己它是什么：你抱住的不过是一件易碎的陶杯，它碎了也不奇怪。——《手册·3》〔意译〕
01029,冯友兰,中国,B,中庸是儒家所认为最高底德。——《中国哲学简史·第四章》
01030,克尔凯郭尔,西方,B,人用「理解」逃避「决断」。——《哲学片段》（Johannes Climacus）〔译〕
01031,程颢,中国,A,生之谓性。性即气，气即性，生之谓也。——《遗书》卷一 ⚠️二程未分（卷一为二先生语）
01032,洛克,西方,B,国家的目的是保护财产与自由。——《政府论两篇·下篇》章九·节124〔意译〕
01033,笛卡尔,西方,A,凡不是清楚分明的，我一律不当作真的接受。——《谈谈方法》第二部分（方法规则一）
01034,韩非,中国,A,恃人不如自恃也。——《韩非子·外储说右下》
01035,顾炎武,中国,A,耻之于人大矣，不耻则无所不为。——《日知录·廉耻》
01036,叔本华,西方,B,历史，不过是同一剧本的无穷重演。——《作为意志和表象的世界》〔译〕
01037,僧肇,中国,B,然则动静未始异，而惑者不同。——《物不迁论》
01038,维特根斯坦,西方,B,凡可言说者，皆可被清晰言说。——《逻辑哲学论》4.116〔译〕
01039,加缪,西方,B,世界本身并不理性，它只是存在着。——《西西弗神话》〔意译〕
01040,熊十力,中国,A,吾侪生命，与宇宙大生命，本非二。——《十力语要·卷二》 #self-other
01041,赫拉克利特,西方,B,疾病使健康显得甘美与美好，饥饿使饱足甘美，劳顿使安息甘美。——〔译〕《残篇》DK B111（安德罗提翁/斯托拜乌斯转引）
01042,黑格尔,西方,A,真正的自我，是浸透了伦理实体的自我。——《法哲学原理》〔译〕
01043,朱熹,中国,A,敬字工夫，乃圣门第一义。——《语类》
01044,克里希那穆提,印度,A,必须有一份内在的空寂，真理才能来临。——《智慧的觉醒》〔译〕
01045,王充,中国,B,经传之文，贤圣之语，古今言殊，四方谈异也。——《论衡·自纪》
01046,苏格拉底,西方,A,死或许是一件好事。——柏拉图《申辩篇》40c
01047,顾炎武,中国,B,不廉，则无所不取；不耻，则无所不为。——《日知录·廉耻》
01048,波普尔,西方,A,理智的诚实，要求我先假设自己是错的。——《猜想与反驳》〔意译〕
01049,王充,中国,A,譬犹练丝，染之蓝则青，染之丹则赤。——《论衡·率性》
01050,鲁米,伊斯兰波斯,B,时间如河，载走浮舟，留者唯爱。——。——《玛斯纳维·卷五》 #self-other〔译〕
01051,王弼,中国,A,尚名好高，其身必疏；贪货无厌，其身必少。——《老子注·四十四章》
01052,牟宗三,中国,B,良知之天理，是万事之准则。——《心体与性体·第二部》 〔意译〕
01053,雅斯贝尔斯,西方,B,现代社会的危机，是交往的失败与孤独的普遍化。——《时代的精神状况》〔意译〕
01054,斯宾诺莎,西方,A,我越理解万物的必然，就越少为外物所扰。——《伦理学》第五部分·命题六附释〔意译〕
01055,周敦颐,中国,A,诚则无事矣。——《通书·诚下》
01056,王夫之,中国,A,致知之途有二，曰学、曰思。——《读通鉴论·卷六》
01057,程颐,中国,B,俭，德之共也；侈，恶之大也。——《易传·否卦》
01058,鲁米,伊斯兰波斯,B,夜空万千星，皆是一光之分辉。——《玛斯纳维·卷四》〔译〕
01059,王阳明,中国,A,为学须有个头脑。——《传习录》上
01060,朱熹,中国,A,学须是熟，熟则心精，心精则自然见理。——《语类》
01061,休谟,西方,A,痛苦与快乐的印象是全部动机的源头。——《人性论》卷二·章一〔意译〕
01062,康德,西方,A,自由，是道德律的存在理由；道德律，是自由的认识理由。——《实践理性批判》〔译〕
01063,福柯,西方,B,凡有权力之处，必有抵抗。——《性史·第一卷》〔译〕
01064,王充,中国,A,才高行洁，不可保以必尊贵；能薄操浊，不可保以必卑贱。——《论衡·逢遇》
01065,洛克,西方,A,经验有两条途径：感觉与外部对象，反省与心灵内部运作。——《人类理解论》卷二·章一·节2〔意译〕
01066,庄子,中国,A,且夫水之积也不厚，则其负大舟也无力。——《庄子·逍遥游》
01067,朱熹,中国,A,书不记，熟读可记；义不精，细思可精；惟有志不立，直是无着力处。——《语类》
01068,加缪,西方,B,沉默的大多数，是荒诞得以维持的共谋。——《局外人》〔意译〕
01069,维特根斯坦,西方,A,我所谓「我看见红色」，是习得的语言反应，不是私密的命名。——《哲学研究》§244〔译〕
01070,孟子,中国,B,劳心者治人，劳力者治于人。——《孟子·滕文公上》
01071,王弼,中国,B,故言者所以明象，得象而忘言；象者所以存意，得意而忘象。——《周易略例·明象》
01072,叔本华,西方,A,个性的价值，高于一切外在的际遇。——《附录与补遗·人生的智慧》〔译〕
01073,惠施,中国,B,天与地卑，山与泽平。——《庄子·天下》（历物十事之三）
01074,巴门尼德,西方,B,一切所谓的生灭，皆因形相的离合而显，并非真的有无。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）
01075,休谟,西方,B,物质实体与精神实体一样，都是不可知的假设。——《人性论》卷一·部四·章五〔意译〕
01076,福柯,西方,A,我写作，是为了让自己能被反驳。——《言与文》〔意译〕
01077,吉田兼好,日本,A,修养在平日，临事方显。——《徒然草》〔译〕
01078,朱熹,中国,A,居敬持志。——《朱子读书法》
01079,释迦牟尼,印度,B,沙门婆罗门如实知苦、知集、知灭、知道者，我施设彼为沙门。——《杂阿含经·卷十七》
01080,加缪,西方,A,应当想象西西弗是幸福的。——《西西弗神话》〔译〕
01081,张载,中国,A,穷神知化，与天为一。——《正蒙·神化》
01082,阿奎那,西方,A,恩典不摧毁本性，而成全本性；自然之能，因恩典而达其本不能及。——《神学大全·I-II·q.110·a.1》〔译〕
01083,叔本华,西方,B,正义，是承认他人与我同具求生意志。——《论道德的基础》〔译〕
01084,牟宗三,中国,B,综和的尽理之精神，与分解的尽理之精神，是中西文化之辨。——《政道与治道》 〔意译〕
01085,克尔凯郭尔,西方,B,群众不需要真理，只需要喧哗。——《日记》（Papirer）〔译〕
01086,孔子,中国,A,志士仁人，无求生以害仁，有杀身以成仁。——《论语·卫灵公》
01087,顾炎武,中国,B,法立而奸生，令下而诈起，在乎人不在于法。——《日知录》 〔意译〕
01088,王夫之,中国,A,修其身者，必先正其心。——《尚书引义·太甲二》 〔意译〕
01089,福柯,西方,B,知识不是为认识而认识的，它总是与权力相互缠绕。——《权力的眼睛》〔译〕
01090,第欧根尼,西方,B,多数所谓的朋友，只是时运的随从。——〔意译〕《名哲言行录》卷六（据其言论）
01091,惠施,中国,B,我非子，固不知子矣；子固非鱼也，子之不知鱼之乐，全矣！——《庄子·秋水》（惠施语）
01092,周敦颐,中国,A,无思，本也；思通，用也。几动于彼，诚动于此。无思而无不通，为圣人。——《通书·思》
01093,慧能,中国,B,外于一切善恶境界，心念不起名为坐；内见自性不动名为禅。——《坛经》（敦煌本）
01094,张载,中国,B,故天地之塞，吾其体；天地之帅，吾其性。——《西铭》 #self-other
01095,吉田兼好,日本,A,趣味不在物，在观物之心。——《徒然草》〔译〕
