人物,传统,现标v1,对象域v2,语句
爱比克泰德,西方,B,自我,命运把身体、财物、名誉给了你又收回，如同戏台借给你道具；不要把它们当作自己的。——《手册·23》〔意译〕
塞涅卡,西方,B,他者,社会的恶，源于人人只顾自己的利益；公共利益高于私人得利。——《论恩惠·4》〔译〕
胡塞尔,西方,B,自我,客观主义科学造成了欧洲人性的危机。——《欧洲科学的危机与超越论的现象学》§1〔译〕
程颢,中国,B,他者,为国之道，在乎休养生息而已。——《遗书》卷十一
张载,中国,B,世界,神，天德；化，天道。——《正蒙·神化》
韩非,中国,B,符号,无参验而必之者，愚也；弗能必而据之者，诬也。——《韩非子·显学》
吉田兼好,日本,B,世界,春曙、夏夜、秋夕、冬晨，四时皆可观。——《徒然草》〔译〕
海亚姆,伊斯兰波斯,B,世界,球杆不问球之愿否，命运亦然。——《鲁拜集》〔译〕
鲁米,伊斯兰波斯,A,自我,真正的修行，是日夜与自己的黑暗对坐。——《玛斯纳维·卷四》〔译〕
释迦牟尼,印度,A,自我,若心被贪欲缠缚，则不能如实知见。——《杂阿含经·卷一》
冯友兰,中国,A,自我,日用处自有天理流行，不必求之于玄远。——《新原人·第三章》
程颐,中国,B,世界,易，变易也，随时变易以从道也。——《易传·序》
荀子,中国,B,世界,应之以治则吉，应之以乱则凶。——《荀子·天论》
福柯,西方,A,自我,我害怕的不是错误，而是不再能改变自己的想法。——《权力的眼睛》〔意译〕
密尔,西方,B,他者,压迫妇女，是人类半数潜能的浪费。——《论妇女的从属地位》〔译〕
萨特,西方,A,自我,我为自己的存在负责，没有借口。——《存在主义是一种人道主义》〔译〕
赫拉克利特,西方,B,符号,人们被可见事物的认识所欺骗，正如荷马那样博识的人也被骗。——〔译〕《残篇》DK B56（塞克斯都·恩披里柯转引）
商羯罗,印度,A,世界,若于梦中知梦，则梦不成缚；若于世间知摩耶，则世间不成缚。——《梵经注·卷二》〔译〕
克尔凯郭尔,西方,A,自我,信仰者，是在无限与有限之间保持张力的人。——《恐惧与颤栗》（Johannes de Silentio）〔译〕
郭象,中国,A,世界,凡所谓天，皆明不为而自然。——《庄子注·人间世》
董仲舒,中国,A,自我,义之养生人，大于利而厚于财也。——《春秋繁露·身之养重于义》
熊十力,中国,B,自我,仁为元德，是生生底本体。——《原儒·卷一》 〔意译〕
孔子,中国,B,自我,敬鬼神而远之，可谓知矣。——《论语·雍也》
商羯罗,印度,B,世界,如镜中像依镜而有，世界依梵而有；镜不染像，梵不染世。——《梵经注·卷二》〔译〕
加缪,西方,A,自我,人若不爱自己，便无从爱世间。——《反抗者》〔意译〕
克里希那穆提,印度,B,他者,权威是真理的敌人。——《克里希那穆提讲演录》〔译〕
董仲舒,中国,B,世界,凡物必有合。合，必有上，必有下；有前，必有后；有左，必有右。——《春秋繁露·基义》
老子,中国,B,世界,祸兮福之所倚，福兮祸之所伏。——《道德经·第五十八章》
李贽,中国,B,他者,穿衣吃饭，即是人伦物理；除却穿衣吃饭，无伦物矣。——《焚书·答邓石阳》
密尔,西方,A,自我,自由地犯错，好过被正确地奴役。——《论自由》〔译〕
马可·奥勒留,西方,A,自我,对不可能发生的事不要心存希望；也不要为了别人的期待而活。——《沉思录》卷七·7〔意译〕
老子,中国,B,世界,合抱之木，生于毫末；九层之台，起于累土；千里之行，始于足下。——《道德经·第六十四章》
张载,中国,A,他者,不弛劳而底豫，舜其功也；无所逃而待烹，申生其恭也。——《西铭》
奥古斯丁,西方,B,世界,万有皆由你而出、借你而立、归于你；这是受造界的整全秩序。——《上帝之城·11·?》〔译〕
僧肇,中国,A,自我,夫圣心者，微妙无相，不可为有；用之弥勤，不可为无。——《般若无知论》
商鞅,中国,B,他者,政作民之所恶，民弱；政作民之所乐，民强。——《商君书·弱民》
洛克,西方,B,他者,立法权是最高的权力，但它仍须受自然法约束。——《政府论两篇·下篇》章十一·节135〔意译〕
赫拉克利特,西方,B,世界,驴子宁愿要草料，也不要黄金。——〔译〕《残篇》DK B9（普鲁塔克《宴饮问题》转引）
笛卡尔,西方,B,符号,一块蜡的形状、硬度、气味都在变化，但它仍是同一块蜡——使我们认识它的不是想象，而是理智。——《第一哲学沉思集》第二沉思（蜡块论证）〔意译〕
释迦牟尼,印度,B,他者,弟子事师，当以敬顺；师导弟子，当以慈爱。——《长阿含经·善生经》
黄宗羲,中国,A,自我,一念之微，即为善恶所由分。——《明儒学案》 〔意译〕
罗素,西方,B,符号,事物并不像它们表面看起来的那样；这是哲学思考的第一个收获。——《哲学问题》〔译〕
维特根斯坦,西方,A,自我,我所学到的「我存在」，不是一个推论。——《蓝皮书与褐皮书》〔意译〕
慧能,中国,A,同一,凡夫即佛，烦恼即菩提。——《坛经》（敦煌本）
笛卡尔,西方,B,符号,知识的顺序应从最简单、最容易的对象开始，逐步上升到复杂。——《谈谈方法》第二部分（方法规则三）
商鞅,中国,B,他者,刑生力，力生强，强生威，威生德，德生于刑。——《商君书·说民》
塞涅卡,西方,A,自我,每日抽身片刻，与最高的自己相对而坐。——《致鲁基里乌斯书信集·第23封》〔译〕
尼采,西方,B,符号,真理的敌人不是谎言，而是信念。——《敌基督》第54节〔意译〕
雅斯贝尔斯,西方,A,自我,人不能用科学把握自己，因为自己永远是提问者。——《哲学》〔意译〕
老子,中国,B,世界,天长地久。天地所以能长且久者，以其不自生，故能长生。——《道德经·第七章》
雅斯贝尔斯,西方,A,自我,在极限处，理性的筹划让位于存在的跃迁。——《哲学》〔意译〕
老子,中国,B,世界,大音希声，大象无形。——《道德经·第四十一章》
阿奎那,西方,B,符号,语言与概念，皆以类比指向神；我们论神，是「像」而非「是」。——《神学大全·I·q.13·a.5》〔译〕
爱比克泰德,西方,A,自我,一个人若把幸福寄托于外物，他便把幸福交给了别人。——《手册·9》〔意译〕
莱布尼茨,西方,A,世界,每一个单子都被赋予一种内在的力，推动它变化。——《单子论》第11节〔意译〕
笛卡尔,西方,A,自我,我决意把我所接受的一切意见重新审查一遍，把根基挖空再重建。——《第一哲学沉思集》第一沉思 / 《谈谈方法》第三部分〔意译〕
胡塞尔,西方,B,符号,每一个对象都按其被给予方式而显现，显现方式构成其「视域」。——《纯粹现象学通论》§43〔译〕
周敦颐,中国,B,世界,天讨有罪，五刑五用哉！——《通书·刑》
公孙龙,中国,B,符号,右苟变，安可谓右？苟不变，安可谓变？——《公孙龙子·通变论》
郭象,中国,A,世界,各以得性为至，自尽为极也。——《庄子注·逍遥游》
德谟克利特,西方,A,他者,我们当以德行而非出身来尊敬人。——〔译〕《残篇》DK B66（斯托拜乌斯转引）
维特根斯坦,西方,B,符号,哲学让一切如其所是，不解释，只描述。——《哲学研究》§124〔译〕
海德格尔,西方,A,自我,此在的「我性」不在于实体，而在于生存的展开。——《存在与时间》〔意译〕
冯友兰,中国,B,符号,哲学史底任务，在叙述历代底哲学思想，并指出其发展。——《中国哲学史·绪论》
黑格尔,西方,A,他者,个人的特殊意志，须上升为普遍意志，才具伦理效力。——《法哲学原理》〔译〕
密尔,西方,A,自我,个性的自由发展，是人类福祉的首要要素之一。——《论自由·第三章》〔译〕
商鞅,中国,B,他者,国富而贫治，曰重国；国贫而富治，曰轻国。——《商君书·去强》
福柯,西方,A,自我,我的书，是我用来改变自己思想方式的工具。——《言与文》〔意译〕
牟宗三,中国,A,自我,心之悦理义，犹耳目之悦声色。——《心体与性体·第二部》 〔意译〕
福柯,西方,A,自我,我拒绝那种「我知道我是谁」的安逸。——《性经验史》〔意译〕
王阳明,中国,B,自我,心一也，以其全体恻怛而言谓之仁。——《传习录》中
加缪,西方,A,自我,荒诞的人，是不寻求意义却仍拥抱生活的人。——《西西弗神话》〔意译〕
塞涅卡,西方,A,自我,把人生看作旅舍而非故乡；你只是暂住，终须退房。——《论生命之短暂·1》〔译〕
庄子,中国,B,他者,以利合者，迫穷祸患害相弃也；以天属者，迫穷祸患害相收也。——《庄子·山木》
帕斯卡,西方,B,他者,宗教若只是道德，它便与哲学无异；基督教的独特在于恩典。——《思想录》L308〔意译〕
李贽,中国,B,世界,天下万物，皆出于太极。——《焚书》
莱布尼茨,西方,A,自我,灵魂即便不凭借身体也能活动，因为身体的表象已内在于它。——《单子论》第72节〔意译〕
程颐,中国,B,他者,以富贵骄人，虽可言；以学问骄人，不可也。——《遗书》卷十九
孙子,中国,B,他者,故明君贤将，所以动而胜人，成功出于众者，先知也。——《孙子兵法·用间篇》
郭象,中国,A,自我,夫仁义自是人之情性，但当任之耳。——《庄子注·骈拇》
叔本华,西方,B,同一,世界，是我的意志。——《作为意志和表象的世界·第一篇》〔译〕#self-other
海德格尔,西方,B,世界,世界不是物体的总和，而是意义敞开之境。——《存在与时间》§18〔译〕
释迦牟尼,印度,A,自我,当观身不净、受是苦、心无常、法无我。——《杂阿含经·卷十一》（四念处）
阿伦特,西方,B,他者,集中营，是极权主义试图把人「多余化」的终极实验室。——《极权主义的起源》〔译〕
释迦牟尼,印度,A,自我,自依止，法依止，不余依止。——《杂阿含经·卷二四》（阿难问经，attadīpa）
黑格尔,西方,A,世界,理性的真正胜利，是认识到理念在现实中的展开。——《逻辑学》〔译〕
帕斯卡,西方,A,自我,人的伟大不在于身体，而在于思想；思想的领域无限大于宇宙。——《思想录》L113〔意译〕
叔本华,西方,B,他者,真正的友谊罕见，因为多数人只求被需要。——《附录与补遗·人生的智慧》〔译〕
商鞅,中国,B,他者,天地设而民生之。当此之时也，民知其母而不知其父。——《商君书·开塞》
安萨里,伊斯兰波斯,B,符号,真主之众名，是认识祂的门径，非其本体。——《光的壁龛》〔译〕
王阳明,中国,B,同一,见鸟兽之哀鸣觳觫，而必有不忍之心焉，是其仁之与鸟兽而为一体也。——《大学问》
黑格尔,西方,A,自我,苦恼意识，是分裂的主体对自身不安的意识。——《精神现象学·主奴之后》〔译〕
